time_s	chan_0	chan_1	chan_2
6203	501.637937200486	469.455975967384	32.1819612331021
6203.5	501.613332379658	469.431943351692	32.1813890279665
6204	501.472856018883	469.284028324154	32.1888276947286
6204.5	501.593305199914	469.403333094915	32.1899721049996
6205	501.64394535441	469.454259351978	32.1896860024319
6205.5	501.629354123453	469.436520992776	32.1928331306774
6206	501.505757814176	469.314641298906	32.1911165152707
6206.5	501.596738430727	469.407338530863	32.1893998998641
6207	501.601888276947	469.408769043702	32.1931192332451
6207.5	501.542378942851	469.355267863529	32.1871110793219
6208	501.549817609613	469.362420427723	32.1873971818897
6208.5	501.645089764681	469.450253916029	32.1948358486517
6209	501.764680638009	469.567269866247	32.1974107717617
6209.5	501.642228739003	469.454831557113	32.1873971818897
6210	501.725770688792	469.527501609327	32.198269079465
6210.5	501.589013661398	469.391602889636	32.1974107717617
6211	501.442243044131	469.255131964809	32.1871110793219
6211.5	501.896860024319	469.696016021744	32.2008440025749
6212	501.534368070953	469.336385094056	32.1979829768972
6212.5	501.615048995065	469.423360274658	32.1916887204063
6213	501.50919104499	469.318074529719	32.1911165152707
6213.5	501.674272226593	469.482869608755	32.1914026178385
6214	501.688577354982	469.494885916601	32.1936914383807
6214.5	501.686002431872	469.488019454975	32.1979829768972
6215	501.70288248337	469.5117659681	32.1911165152707
6215.5	501.532937558115	469.34611258136	32.1868249767542
6216	501.786138330592	469.593019097346	32.1931192332451
6216.5	501.710893355268	469.518346327158	32.1925470281096
6217	501.59902725127	469.411057864244	32.1879693870252
6217.5	501.590730276804	469.400472069237	32.1902582075674
6218	501.451970531436	469.267720477791	32.1842500536442
6218.5	501.623632072098	469.434804377369	32.1888276947286
6219	501.70803232959	469.519204634862	32.1888276947286
6219.5	501.651670123739	469.465131249553	32.1865388741864
6220	501.642800944138	469.460267505901	32.1825334382376
6220.5	501.778985766397	469.585866533152	32.1931192332451
6221	501.394177812746	469.213074887347	32.1811029253988
6221.5	501.473428224018	469.292039196052	32.1813890279665
6222	501.708318432158	469.514913096345	32.1934053358129
6222.5	501.675130534297	469.48344181389	32.1916887204063
6223	501.724054073385	469.527215506759	32.1968385666261
6223.5	501.781846792075	469.586438738288	32.1954080537873
6224	501.640512123596	469.443959659538	32.1965524640584
6224.5	501.637937200486	469.450826121164	32.1871110793219
6225	501.515771404048	469.326085401616	32.1896860024319
6225.5	501.83248694657	469.628781918318	32.2037050282526
6226	501.412488377083	469.225377297761	32.1871110793219
6226.5	501.788141048566	469.589299763965	32.1988412846005
6227	501.709176739861	469.502038480795	32.2071382590659
6227.5	501.527215506759	469.326085401616	32.2011301051427
6228	501.661111508476	469.464845146985	32.1962663614906
6228.5	501.797582433302	469.586724840855	32.2108575924469
6229	501.595307917889	469.389027966526	32.2062799513626
6229.5	501.562120020027	469.370717402189	32.1914026178385
6230	501.654817251985	469.455117659681	32.1996995923038
6230.5	501.51806022459	469.322938273371	32.1951219512195
6231	501.614762892497	469.423074172091	32.1916887204063
6231.5	501.664830841857	469.466561762392	32.198269079465
6232	501.652242328875	469.454545454545	32.1976968743294
6232.5	501.491738788356	469.300050067949	32.1916887204063
6233	501.503755096202	469.299191760246	32.2045633359559
6233.5	501.508046634719	469.30634432444	32.2017023102782
6234	501.70545740648	469.503755096202	32.2017023102782
6234.5	501.600743866676	469.395608325585	32.2051355410915
6235	501.602460482083	469.398183248695	32.2042772333882
6235.5	501.79271868965	469.589013661398	32.2037050282526
6236	501.617337815607	469.414777197625	32.2025606179815
6236.5	501.648236892926	469.449109505758	32.1991273871683
6237	501.587010943423	469.381875402332	32.2051355410915
6237.5	501.700879765396	469.495172019169	32.205707746227
6238	501.572705815035	469.37186181246	32.2008440025749
6238.5	501.596166225592	469.386166940848	32.2099992847436
6239	501.68886345755	469.477719762535	32.2111436950147
6239.5	501.692582790931	469.482869608755	32.2097131821758
6240	501.53093484014	469.322079965668	32.2088548744725
6240.5	501.505471711609	469.300908375653	32.2045633359559
6241	501.442243044131	469.246548887776	32.1956941563551
6241.5	501.631642943995	469.424218582362	32.2074243616336
6242	501.526357199056	469.330376940133	32.1959802589228
6242.5	501.711751662971	469.502896788499	32.2088548744725
6243	501.602460482083	469.399327658966	32.2031328231171
6243.5	501.629354123453	469.424790787497	32.2045633359559
6244	501.437379300479	469.232243759388	32.2051355410915
6244.5	501.76067520206	469.554681353265	32.2059938487948
6245	501.653672841714	469.455117659681	32.1985551820328
6245.5	501.626779200343	469.419927043845	32.2068521564981
6246	501.627637508047	469.425649095201	32.201988412846
6246.5	501.712323868107	469.498033044847	32.2142908232601
6247	501.573850225306	469.366998068808	32.2068521564981
6247.5	501.738931406909	469.532651455547	32.2062799513626
6248	501.662828123882	469.455403762249	32.2074243616336
6248.5	501.625348687504	469.418210428439	32.2071382590659
6249	501.585866533152	469.372720120163	32.2131464129891
6249.5	501.690866175524	469.480580788213	32.2102853873114
6250	501.560975609756	469.348115299335	32.2128603104213
6250.5	501.790429869108	469.575280738145	32.2151491309635
6251	501.552392532723	469.350404119877	32.201988412846
6251.5	501.682283098491	469.45912309563	32.223160002861
6252	501.680852585652	469.468850582934	32.212002002718
6252.5	501.643373149274	469.420499248981	32.2228739002933
6253	501.609040841142	469.39875545383	32.2102853873114
6253.5	501.717187611759	469.500035762821	32.2171518489378
6254	501.664830841857	469.458550890494	32.2062799513626
6254.5	501.652528431443	469.440526428725	32.212002002718
6255	501.890851870396	469.665975252128	32.2248766182677
6255.5	501.619912738717	469.407624633431	32.2122881052857
6256	501.704599098777	469.49374150633	32.2108575924469
6256.5	501.749517201917	469.529504327301	32.2200128746155
6257	501.561261712324	469.355267863529	32.2059938487948
6257.5	501.703454688506	469.494313711466	32.2091409770403
6258	501.703168585938	469.484014019026	32.2191545669122
6258.5	501.704026893641	469.481439095916	32.2225877977255
6259	501.752378227595	469.538373506902	32.2140047206924
6259.5	501.679422072813	469.455975967384	32.2234461054288
6260	501.699163149989	469.480294685645	32.2188684643445
6260.5	501.643373149274	469.425935197768	32.2174379515056
6261	501.458550890494	469.237679708175	32.2208711823189
6261.5	501.561547814892	469.353551248122	32.2079965667692
6262	501.555539660968	469.344682068522	32.2108575924469
6262.5	501.619054431014	469.39360560761	32.2254488234032
6263	501.636506687648	469.421643659252	32.2148630283957
6263.5	501.690007867821	469.473142121451	32.2168657463701
6264	501.746370073671	469.523496173378	32.2228739002933
6264.5	501.577283456119	469.358701094342	32.2185823617767
6265	501.829053715757	469.60160217438	32.2274515413776
6265.5	501.722051355411	469.492024890923	32.2300264644875
6266	501.848222587798	469.62592089264	32.2223016951577
6266.5	501.731492740147	469.506902224447	32.2245905156999
6267	501.603890994922	469.380158786925	32.2237322079966
6267.5	501.809598741149	469.589299763965	32.2202989771833
6268	501.739503612045	469.508904942422	32.2305986696231
6268.5	501.659108790501	469.439382018454	32.2197267720478
